product_id,product_name,category,subcategory,brand,mrp,weight_grams,is_fragile,seller_name,seller_warehouse_city,seller_warehouse_state,seller_warehouse_pincode,seller_rating,listing_date
PROD00001,Earrings Combo - Premium Design,Jewellery & Cosmetics,Earrings Combo,Riya Collections,966,319,Yes,Ansari Trading Co,Gaya,Bihar,823009,4.4,2025-02-19
PROD00002,Kids Frock - Casual Fit,Kids Wear,Kids Frock,Shree Krishna Textiles,1699,298,No,Menon Impex,Faridabad,Haryana,121049,3.9,2025-05-09
PROD00003,Bedsheet Set - Casual Design,Home & Kitchen,Bedsheet Set,Comfort Zone India,1752,518,No,Gupta Impex,Bhopal,Madhya Pradesh,462058,,2024-05-27
PROD00004,Kurti Set - Festive,Women Ethnic Wear,Kurti Set,Generic,991,248,No,Yadav Collections,Mumbai,Maharashtra,400032,,2025-07-17
PROD00005,Formal Shoes - Daily Wear Fit,Footwear,Formal Shoes,Priya Creations,840,40,Yes,Agarwal Collections,Kolkata,West Bengal,700094,3,2024-04-27
PROD00006,Window Curtain - Daily Wear Design,Home & Kitchen,Window Curtain,Divine Ethnic Wear,540,127,Yes,Khan Collections,Gaya,Bihar,823086,4.2,2025-06-03
PROD00007,Saree - Daily Wear Fit,Women Ethnic Wear,Saree,Comfort Zone India,446,40,No,Mukherjee Textiles,Kanpur,Uttar Pradesh,208075,4.9,2024-12-10
PROD00008,Bedsheet Set - Classic,Home & Kitchen,Bedsheet Set,Riya Collections,649,364,No,Reddy Collections,Guwahati,Assam,781084,3.1,2025-06-09
PROD00009,Saree - Trendy Design,Women Ethnic Wear,Saree,Riya Collections,545,374,No,Malhotra Enterprises,Hubli,Karnataka,580078,3.3,2024-05-18
PROD00010,Formal Shoes - Casual,Footwear,Formal Shoes,Divine Ethnic Wear,904,,Yes,Sharma Wholesale Mart,Rajkot,Gujarat,360030,3.8,2024-08-16
PROD00011,Lehenga Choli - Trendy Fit,Women Ethnic Wear,Lehenga Choli,Riya Collections,528,757,Yes,Gupta Trading Co,New Delhi,Delhi,110066,4,2025-12-18
PROD00012,Lehenga Choli - Casual Style,Women Ethnic Wear,Lehenga Choli,Metro Trendz,411,530,No,Rao Wholesale Mart,New Delhi,Delhi,110079,3.3,2024-12-08
PROD00013,Kids Nightwear - Festive Style,Kids Wear,Kids Nightwear,Unbranded,825,40,No,Banerjee Impex,Kochi,Kerala,682006,3.2,2025-07-21
PROD00014,Power Bank - Festive Style,Mobile Accessories,Power Bank,Metro Trendz,819,,No,Rathore Collections,Indore,Madhya Pradesh,452059,4.1,2024-08-16
PROD00015,Kurti Set - Premium Style,Women Ethnic Wear,Kurti Set,Divine Ethnic Wear,690,283,No,Patel Impex,Faridabad,Haryana,121022,,2025-06-07
PROD00016,Men'S Wallet - Premium Fit,Bags & Wallets,Men'S Wallet,Riya Collections,495,248,Yes,Menon Textiles,Bengaluru,Karnataka,560079,4.6,2024-04-25
PROD00017,Window Curtain - Classic Design,Home & Kitchen,Window Curtain,Fashion Point Surat,888,40,No,Joshi Trading Co,Cuttack,Odisha,753037,4.2,2024-12-19
PROD00018,Kajal Combo - Festive Style,Jewellery & Cosmetics,Kajal Combo,Aaradhya Fashion Hub,595,201,No,Das Enterprises,Lucknow,Uttar Pradesh,226028,4.4,2025-08-28
PROD00019,Wired Earphones - Festive Fit,Mobile Accessories,Wired Earphones,Comfort Zone India,1296,554,Yes,Kumar Textiles,Mysuru,Karnataka,57006,,2025-09-05
PROD00020,Photo Frame Set - Premium,Home Decor,Photo Frame Set,Metro Trendz,620,422,Yes,Das Collections,Lucknow,Uttar Pradesh,226009,4.6,2024-08-24
PROD00021,Phone Back Cover - Classic,Mobile Accessories,Phone Back Cover,Style Bazaar Co,565,309,Yes,Mishra Textiles,Patna,Bihar,800059,3.3,2025-09-18
PROD00022,Power Bank - Festive Style,Mobile Accessories,Power Bank,Comfort Zone India,381,528,Yes,Sharma Wholesale Mart,Kanpur,Uttar Pradesh,208006,4.8,2024-09-22
PROD00023,Wall Clock - Trendy Fit,Home Decor,Wall Clock,Metro Trendz,707,570,Yes,Chauhan Impex,Thiruvananthapuram,Kerala,695020,4.2,2025-12-01
PROD00024,Phone Back Cover - Daily Wear Style,Mobile Accessories,Phone Back Cover,Fashion Point Surat,516,429,No,Kumar Trading Co,Mysuru,Karnataka,570081,4.9,2024-12-17
PROD00025,Boys T-Shirt Set - Premium Fit,Kids Wear,Boys T-Shirt Set,Unbranded,721,694,Yes,Iyer Wholesale Mart,Lucknow,Uttar Pradesh,226063,2.4,2024-03-20
PROD00026,Denim Jeans - Casual,Men Fashion,Denim Jeans,Metro Trendz,1155,369,Yes,Singh Wholesale Mart,Jamshedpur,Jharkhand,831055,3.8,2024-03-07
PROD00027,School Backpack - Festive,Bags & Wallets,School Backpack,Style Bazaar Co,773,40,Yes,Sheikh Enterprises,Coimbatore,Tamil Nadu,641050,3.9,2024-11-07
PROD00028,Bangles Set - Trendy Style,Jewellery & Cosmetics,Bangles Set,Aaradhya Fashion Hub,895,,Yes,Das Impex,Kanpur,Uttar Pradesh,208037,3.7,2024-12-23
PROD00029,Power Bank - Classic Style,Mobile Accessories,Power Bank,Metro Trendz,471,239,Yes,Singh Impex,Chandigarh,Chandigarh,160069,4.5,2024-07-24
PROD00030,Wired Earphones - Festive Style,Mobile Accessories,Wired Earphones,Divine Ethnic Wear,881,233,No,Mukherjee Enterprises,Guwahati,Assam,781066,,2024-06-26
PROD00031,Storage Container Set - Premium Style,Home & Kitchen,Storage Container Set,Divine Ethnic Wear,775,563,Yes,Mishra Enterprises,Indore,Madhya Pradesh,452000,3.6,2025-05-26
PROD00032,Kurti Set - Classic Design,Women Ethnic Wear,Kurti Set,Fashion Point Surat,614,263,Yes,Patel Wholesale Mart,Coimbatore,Tamil Nadu,641077,3.1,2026-01-02
PROD00033,Cotton Shirt - Trendy Design,Men Fashion,Cotton Shirt,No Brand,865,407,No,Sharma Trading Co,Mumbai,Maharashtra,400043,4,2024-12-28
PROD00034,Ladies Handbag - Premium Design,Bags & Wallets,Ladies Handbag,Unbranded,646,40,Yes,Gupta Enterprises,Hyderabad,Telangana,500086,3.7,2025-10-26
PROD00035,Slippers - Premium Fit,Footwear,Slippers,No Brand,609,173,Yes,Sheikh Textiles,Kanpur,Uttar Pradesh,208045,3.9,2025-08-01
PROD00036,Kids Frock - Trendy Style,Kids Wear,Kids Frock,Om Wholesale Mart,918,764,Yes,Nair Trading Co,Surat,Gujarat,395045,4.1,2024-05-27
PROD00037,School Backpack - Trendy Design,Bags & Wallets,School Backpack,Priya Creations,847,333,Yes,Ansari Textiles,Jaipur,Rajasthan,302065,2.8,2025-04-23
PROD00038,Men'S Wallet - Classic Design,Bags & Wallets,Men'S Wallet,Shree Krishna Textiles,724,363,No,Yadav Collections,Nagpur,Maharashtra,440087,5,2025-01-09
PROD00039,Kids Frock - Casual Style,Kids Wear,Kids Frock,Style Bazaar Co,661,416,No,Patel Enterprises,Guwahati,Assam,781039,4,2024-04-10
PROD00040,Storage Container Set - Classic Fit,Home & Kitchen,Storage Container Set,Riya Collections,387,601,No,Khan Wholesale Mart,Hyderabad,Telangana,500012,,2025-08-19
PROD00041,Power Bank - Premium Fit,Mobile Accessories,Power Bank,Shree Krishna Textiles,1136,149,No,Menon Collections,Hyderabad,Telangana,500035,4.8,2025-06-14
PROD00042,Casual T-Shirt - Classic Design,Men Fashion,Casual T-Shirt,Fashion Point Surat,340,479,Yes,Joshi Trading Co,Surat,Gujarat,395094,,2025-06-18
PROD00043,Kurti Set - Festive,Women Ethnic Wear,Kurti Set,Unbranded,426,225,No,Bhatt Impex,Jaipur,Rajasthan,302096,4.1,2025-06-02
PROD00044,Phone Back Cover - Festive Style,Mobile Accessories,Phone Back Cover,Divine Ethnic Wear,557,40,No,Iyer Impex,Asansol,West Bengal,713050,4,2024-08-11
